,bleu_1gram,bleu_2gram,bleu_3gram,bleu_4gram,METEOR,ROUGE_1gram,ROUGE_1gram_pre,ROUGE_1gram_recall,ROUGE_2gram,ROUGE_2gram_pre,ROUGE_2gram_recall,ROUGE_L,ROUGE_L_pre,ROUGE_L_recall,CIDEr,Spice
14,0.835675111,0.685896593,0.540350315,0.416324167,0.304468404,0.641387897,0.677426443,0.618718052,0.406614615,0.424620364,0.397383645,0.641387897,0.677426443,0.618718052,1.429199001,0.238955837
15,0.836376956,0.685868947,0.540065619,0.416345971,0.301580942,0.636310704,0.67244237,0.613480793,0.401527308,0.420518019,0.391140081,0.636310704,0.67244237,0.613480793,1.41813996,0.238643236
16,0.837861892,0.685892914,0.539020485,0.413431098,0.302968212,0.641782721,0.680089105,0.617154396,0.403728442,0.424389159,0.391990233,0.641782721,0.680089105,0.617154396,1.423682998,0.238274749
17,0.837809429,0.692779343,0.549041274,0.424380427,0.30554462,0.643822078,0.681961995,0.61954769,0.414020583,0.433985011,0.403038249,0.643822078,0.681961995,0.61954769,1.456175819,0.241499239
18,0.839265092,0.686776572,0.542161241,0.418586329,0.304277513,0.642591809,0.679497385,0.619332149,0.405338798,0.423076118,0.396213829,0.642591809,0.679497385,0.619332149,1.447148763,0.239208459
19,0.837453419,0.687904784,0.542255894,0.418158413,0.302198956,0.639563348,0.677745292,0.615309227,0.405303008,0.423920779,0.395361984,0.639563348,0.677745292,0.615309227,1.443904873,0.236848925
20,0.842105263,0.690179214,0.545290893,0.421902772,0.303563153,0.640413384,0.67857123,0.616036151,0.406098897,0.42607123,0.395307081,0.640413384,0.67857123,0.616036151,1.446125682,0.238011901
21,0.838735053,0.69129893,0.546100032,0.42283771,0.303683672,0.642350012,0.682113835,0.616849748,0.407194477,0.427238059,0.396225177,0.642350012,0.682113835,0.616849748,1.442492013,0.240159456
22,0.842364274,0.692835509,0.548560203,0.425927228,0.305438386,0.643561031,0.682644679,0.618781293,0.410108207,0.430072763,0.399303644,0.643561031,0.682644679,0.618781293,1.449880501,0.241041084
23,0.83681811,0.685933714,0.538969994,0.415100538,0.301738322,0.639526125,0.679623737,0.613713555,0.403467809,0.424499152,0.391654414,0.639526125,0.679623737,0.613713555,1.423618461,0.239598823
